word,human_translation,machine_translation,clients
anmen事件,,anmen event,YY
6月4号动乱,,June 4 unrest,YY
1989的事,,1989 things,YY
六四学朝,,Sixty-four toward school,YY
学CHAO,Campus upheavel,Learn CHAO,YY
八九年发生了什么事,,What happened in 2089,YY
八九年发生过什么事,,What happened in 2089,YY
八九年发生的事,,What happened in 2089,YY
八九惨案,,Eighty-nine massacre,YY
北京大学生暴动,,Beijing Student Riots,YY
TAM学生,,TAM students,YY
89的大学生风波,,89 students storm,YY
6si运动,June 4 protest,6si sports,YY
六寺事件,June event,Six Temple Event,YY
89年的示威游行,,89 years of demonstrations,YY
20年前大学生闹事,,Students trouble 20 years ago,YY
天anmen事件,Tiananmen event,Anmen day event,YY
中国政治风波,,Chinese political storm,YY
天安门广场静坐,,Tiananmen Square sit-in,YY
春夏之交政治风波,,Spring and summer political turmoil,YY
天安门发生事件,,Tiananmen incident,YY
89颜色革命,,89 color revolution,YY
小平杀害大学生,,Xiaoping killed Students,YY
柴灵,,Chai Ling,YY
天安门被政府镇压,,Tiananmen crackdown government,YY
1989年发生了什么,,What happened in 1989,YY
绝食的政治事件,,Hunger strike of political events,YY
一九八九年北京发生了政治风波,,1989 Beijing undergone political turmoil,YY
天安门六四,,Tiananmen sixty-four,YY
解放军38师,,People's Liberation Army 38 division,YY
梁 光 烈,,Intense beam of light,YY
卡得尔·牙甫泉,June 4 [1989],Card was Carl teeth Fu Quan,YY
八的平方,Square of 8,Square eight,YY
八平方,,Eight square,YY
4的立方,6/4/2015,Cube 4,YY
四的立方,4 cubed,Four cubic,YY
8的二次方,8 squared,Quadratic 8,YY
bajiu,,,YY
捌9,,Ba 9,YY
八玖,,Eight Nine,YY
捌九,,Eight nine,YY
ba玖,,Nine ba,YY
捌jiu,,Ba jiu,YY
8jiu,,,YY
北京之春,,Beijing Spring,Sina Show
屠杀,,Slaughter,Sina Show; LINE
木犀地,,Osmanthus ground,Sina Show
许家屯,,Xujiatun,Sina Show
耀邦紫阳,"(Hu) Yaobang, (Zhao) Ziyang",Yaobang Ziyang,YY
6·4英烈,,6.4 martyrs,YY
木樨地,Muxidi,Sweetclover,YY
北京游行,,Beijing parade,YY
64 赵紫阳,,64 Zhao Ziyang,YY
89胡耀邦,,89 Hu Yaobang,YY
89 游行,,89 parade,YY
89 呼吁,89 advocate,89 appeals,YY
八九 悼念,89 memorial,Eighty-nine Tribute,YY
39军 进京,39th Group Army Enter Beijing,39 Jun Beijing,YY
李勇 捐款,Li Yong donation,Li Yong Contributions,YY
64腐败,,64 corruption,YY
蜡烛 没收,,Candle confiscation,YY
89社论,,89 Editorials,YY
八九39军,89 39th Group Army,Eighty-nine 39 Jun,YY
八九 政府,89 government,Eighty-nine government,YY
八酒六四,eight wine June 4,Eight wine sixty-four,YY
坦克白衬衫,,Tank white shirt,YY
天安门 27年,,Tiananmen Square 27 years,YY
89邓小平,,89 Deng Xiaoping,YY
八九胡耀邦,89 Hu Yaobang,Eighty-nine Hu Yaobang,YY
64镇压,,64 crackdown,YY
八九黑衫,89 blackshirts,Eighty-nine Blackshirts,YY
89八平方,89 square of 8,89 Tiananmen Square,YY
张先玲母亲,,Zhang Xianling mother,YY
六四拖拉机,June 4 tractor,Sixty-four tractor,YY
64live.com,,,YY
64 纪念,,64 Memorial,YY
六四 绝食,June 4 hunger strike,Sixty-four hunger strike,YY
考拉 狱中,,Koala prison,YY
64军队,,64 army,YY
6439军,64 39th Group Army,6439 Army,YY
六四 悼念,June 4 tribute,Sixty-four Tribute,YY
89之光,light of 89,89 Light,YY
64 静坐,64 sit still,64 sit,YY
港人 游行,,Hong Kong parade,YY
64 政府,,64 government,YY
北京 学运,,Beijing student movement,YY
北京 游行,,Beijing parade,YY
八九 绝食,89 Hunger strike,Eighty-nine hunger strike,YY
八九 遇难,89 victims,Eighty-nine killed,YY
民主女神台湾,,Taiwan Goddess of Democracy,YY
郭飞雄 张青,Guo Feixiong Zhang Qing,Zhang Qing Guo Feixiong,YY
符海陆,Fu Hailu,Fu sea,YY
春夏之交 风波,Political turmoil between the Spring and Summer,Spring and summer storm,YY
64 27年,64 27 Years,Year 6427,YY
推土机种花,Blooms of Darkness,Bulldozer flowers,YY
六四赵紫阳,June 4 Zhao Ziyang,Sixty-four Zhao Ziyang,YY
八九坦克,89 tank,Eighty-nine tank,YY
天安门blood,,Tiananmen blood,YY
六四 胡耀邦,June 4 Hu Yaobang,Sixty-four Hu Yaobang,YY
89遇难,89 victims,89 killed,YY
木樨地甩站,Muxidi Subway Station,Sweetclover rejection station,YY
天安门回忆,,Tiananmen memories,YY
六四政府,June 4 government,Sixty-four government,YY
徐琳歌曲,,Xu Lin songs,YY
张善光学生,,Student Zhang Shanguang,YY
八九纪念,89 memorial,Eighty-nine Memorial,YY
64绝食,,64 hunger strike,YY
广场 拖拉机,,Square tractor,YY
北京 学潮,,Beijing student movement,YY
北京血腥,,Beijing bloody,YY
六四邓小平,June 4 Deng Xiaoping,Sixty-four Deng Xiaoping,YY
木樨地纪念,Muxidi Memorials,Memorial Sweetclover,YY
維園,,Victoria Park,YY
89街头,,89 streets,YY
89赵紫阳,,89 Zhao Ziyang,YY
八九北京,89 Beijing,Eighty-nine Beijing,YY
北京 学生领袖,,Beijing student leaders,YY
盛雪 推特,Shengxue Twitter,Sheng Xue tweets,YY
八九 邓小平,89 Deng Xiaoping,Eighty-nine Deng Xiaoping,YY
64 平反,64 vindication,64 rehabilitated,YY
北京二十七年,,Beijing twenty-seven years,YY
香港大学生会,The Hong Kong University Students' Union,Hong Kong Students will,YY
89 重返,,89 return,YY
八九屠城,89 massacre,Eighty-nine massacre,YY
64胡耀邦,,64 Hu Yaobang,YY
八九 27年,89 27 years,Eighty-nine 27 years,YY
89军队,,89 army,YY
北京政治风波,,Beijing political storm,YY
六四 学潮,June 4 student strike,Sixty-four Student Strike,YY
89静坐,89 sit still,89 sit,YY
绿叶行动,,Green Leaf action,YY
89 纪念,,89 Memorial,YY
六四39军,sixty-four 39th Group Army,Sixty-four 39 Jun,YY
八九 二十七年,89 twenty-seven years,Eighty-nine twenty-seven years,YY
天安门 血,,Tiananmen blood,YY
支連会,Hong Kong Alliance in Support of Patriotic Democratic Movements in China,Support Lien,YY
八九 民主,89 Democarcy,Eighty-nine democracy,YY
89 腐败,,89 corruption,YY
八九 镇压,89 repression,Eighty-nine repression,YY
六四黑衫,June 4 blackshirt,Sixty-four Blackshirts,YY
八九拖拉机,89 tractor,Eighty-nine tractor,YY
徐彩虹北京,,Xu Caihong Beijing,YY
64 学潮,64 Student Strike,64 Student Strike,YY
六四胡耀邦,June 4 Hu Yaobang,Sixty-four Hu Yaobang,YY
89 绝食,89 Hunger strike,89 hunger strike,YY
八九邓小平,89 Deng Xiaoping,Eighty-nine Deng Xiaoping,YY
北京镇压,,Beijing crackdown,YY
八九 学潮,89 Student strike,Eighty-nine Student Strike,YY
89腐败,,89 corruption,YY
北京学生领袖,,Beijing student leaders,YY
64 坦克,,64 tanks,YY
六四期间,June 4 period,Sixty-four period,YY
八九屠杀,89 massacre,Eighty-nine massacre,YY
蜡烛没了,Candle is gone,Candle gone,YY
89座谈,,89 discussion,YY
八九静坐,89 sit still,Eighty-nine sit,YY
盛雪推特,,Sheng Xue tweets,YY
六四 民主,June 4 Democracy,Sixty-four democracy,YY
64 腐败,,64 corruption,YY
六四 腐败,June 4 corruption,Sixty-four corruption,YY
64 黑衫,,64 Blackshirts,YY
64街头,,64 streets,YY
89绝食,,89 hunger strike,YY
北京 血腥,,Beijing bloody,YY
64 学生,,64 students,YY; LINE
六四 军队,June 4 army,Sixty-four army,YY
八九街头,89 street,Eighty-nine street,YY
天安门 散步,,Tiananmen Walking,YY
89 邓小平,,89 Deng Xiaoping,YY
六四 烛光,June 4 candlelight,Sixty-four candlelight,YY
六四 纪念,June 4 Memorial,Sixty-four Memorial,YY
王策西班牙,,Wang Ce Spain,YY
八九座谈,89 discussion,Eighty-nine discussion,YY
6427年,June 4 27 years,Year 6427,YY
八九政府,89 government,Eighty-nine government,YY
六四血衣,June 4 blood shirt,Sixty-four pants,YY
六四 静坐,June 4 sit still,Sixty-four sit,YY
维园烛光,,Victoria Park candlelight,YY
64拖拉机,,64 tractor,YY
蜡烛没收,,Candle confiscation,YY
89 中共,89 Chinese Communist Party,89 CPC,YY
八九游行,89 parade,Eighty-nine parade,YY
64 重返,,64 return,YY
89清场,,89 clearance,YY
北京事件,,Beijing Event,YY
64座谈,,64 discussion,YY
89呼吁,89 advocate,89 appeals,YY
64 绝食,,64 hunger strike,YY
八九学生,89 student,Eighty-nine students,YY
64遇难,64 victims,64 killed,YY
64呼吁,64 advocate,64 appeals,YY
北京清场,,Beijing Clearance,YY
八九悼念,89 memorial,Eighty-nine Tribute,YY
89 清场,,89 clearance,YY
张永宁 T恤,,Zhang Yongning T-shirt,YY
徐琳 歌曲,,Xu Lin songs,YY
64 中共,64 Chinese Communist Party,64 CPC,YY
天安门 镇压,,Tiananmen crackdown,YY
八九 腐败,89 corruption,Eighty-nine corruption,YY
拖拉机 天安门,,Tractor Tiananmen,YY
广场屠杀,,Square massacre,YY
天安门 敏感词,,Tiananmen sensitive words,YY
八九 纪念,89 Memorial,Eighty-nine Memorial,YY
郭宝胜 被捕,,Guo Baosheng arrested,YY
民主女神 台湾,,Taiwan Goddess of Democracy,YY
北京 黑衫,,Beijing Blackshirts,YY
八九血腥,89 bloody,Eighty-nine bloody,YY
六四 政府,June 4 government,Sixty-four government,YY
64 拖拉机,,64 tractor,YY
89血腥,,89 bloody,YY
费良勇德国,Fei Liangyong Germany,Fee Liangyong Germany,YY
木樨地蜡烛,Muxidi Candle,Sweetclover candle,YY
八九绝食,89 hunger strike,Eighty-nine hunger strike,YY
八九 胡耀邦,89 Hu Yaobang,Eighty-nine Hu Yaobang,YY
川普六四,Trump June 4,Trump sixty-four,YY
64 座谈,,64 discussion,YY
64 血腥,,64 bloody,YY
天安门 blood,,Tiananmen blood,YY
89 黑衫,,89 Blackshirts,YY
北京 屠城,,Beijing massacre,YY
八九 呼吁,89 advocate,Eighty-nine appeal,YY
64赵紫阳,,64 Zhao Ziyang,YY
天安门 清场,,Tiananmen clearance,YY
19八九,1989,19 eighty-nine,YY
64 镇压,,64 crackdown,YY
北京 平反,Beijing Vindication,Beijing vindicated,YY
六四 八九,June 4 89,Six thousand four hundred eighty-nine,YY
89 拖拉机,,89 tractor,YY
64反思,,64 Reflection,YY
八九27年,89 27 years,Eighty-nine 27 years,YY
周锋锁真相,Zhou Fengsuo Truth,Zhou Feng Lock truth,YY
寻找王维林,Looking For Wang Weilin,Looking Wang Weilin,YY
89北京,,89 Beijing,YY
64悼念,64 demostration,64 memorial,YY
张永宁T恤,,Zhang Yongning T-shirt,YY
天安门二十七年,,Tiananmen twenty-seven years,YY
89 赵紫阳,,89 Zhao Ziyang,YY
六四血腥,June 4 bloody,Sixty-four bloody,YY
北京 27年,,Beijing 27 years,YY
64清场,,64 clearance,YY
杜宪 新闻联播,Du Xian Xinwen Lianbo,Du Xian News Feeds,YY
特朗普六四,Trump June 4,Trump sixty-four,YY
64重返,,64 return,YY
天安门 二十七年,,Tiananmen twenty-seven years,YY
六四 座谈,June 4 discussion,Sixty-four discussion,YY
64殇,64 death,64 Shame,YY
春夏之交风波,turmoil between spring and summer,Spring and summer storm,YY
北京 镇压,,Beijing crackdown,YY
八九香港,89 Hong Kong,Eighty-nine Hong Kong,YY
拖拉机天安门,,Tractor Tiananmen,YY
64 示威,,64 demonstrators,YY
张先玲 母亲,,Zhang Xianling mother,YY
六四 邓小平,June 4 Deng Xiaoping,Sixty-four Deng Xiaoping,YY
64 民主,,64 democracy,YY
陆4,Land 4,Land 4,YY
广场 坦克,,Square tank,YY
北京坦克人,,Beijing tanks person,YY
64 军队,,64 army,YY
郭飞雄公开信,,Guo Feixiong open letter,YY
北京 政治风波,,Beijing political storm,YY
八九二十七年,89 twenty-seven years,Eighty-nine twenty-seven years,YY
89 悼念,,89 memorial,YY
89 军队,,89 army,YY
89拖拉机,,89 tractor,YY
六四示威,June 4 demostration,Sixty-four demonstrations,YY
八九天安门,89 Tiananmen,Eighty-nine Tiananmen,YY
八九 坦克,89 tank,Eighty-nine tank,YY
89 北京,,89 Beijing,YY
八九 中共,89 Chinese Communist party,Eighty-nine CCP,YY
蜡烛 没了,Candle is gone,Candle gone,YY
八九 反思,89 reflection,Eighty-nine Reflection,YY
八九 清场,89 clearance,Eighty-nine clearance,YY
89示威,,89 demonstrators,YY
89血衣,89 blood shirt,89 pants,YY
八九社论,89 editorial,Eighty-nine Editorials,YY
白衬衫散步,,White shirt walking,YY
六四 黑衫,June 4 blackshirt,Sixty-four Blackshirts,YY
八九清场,89 clearance,Eighty-nine clearance,YY
64 39军,64 39th Group Army,6439 Army,YY
64 血衣,64 Blood pants,64 pants,YY
八九 香港,88 Hong Kong,Eighty-nine Hong Kong,YY
六四反思,June 4 reflection,Sixty-four Reflection,YY
六四 学生,June 4 student,Sixty-four students,YY; LINE
64 社论,,64 Editorials,YY
89政府,,89 government,YY
于世文绝食,,Wen world hunger,YY
维园 烛光,,Victoria Park candlelight,YY
天安门敏感词,,Tiananmen sensitive words,YY
维园 晚会,Victoria Park Virgil,Victoria Park show,YY
64北京,,64 Beijing,YY
89民主,,89 democracy,YY
民主风筝,,Democratic Kites,YY
费良勇 德国,Fei Liangyong Germany,Fee Liangyong Germany,YY
64 呼吁,64 advocate,64 appeals,YY
六四 无日无之,June 4 almost every day,Sixty-four almost every day,YY
于世文 绝食,Yu Shiwen hunger strike,Wen world hunger,YY
周锋锁 真相,Zhou Fengsuo Truth,Zhou Feng Lock truth,YY
坦克 白衬衫,,Tank white shirt,YY
89 民主,,89 democracy,YY
六四学生,June 4 student,Sixty-four students,YY
八九 军队,89 Army,Eighty-nine army,YY
六四座谈,June 4 discussion,Sixty-four discussion,YY
八九 静坐,89 sit still,Eighty-nine sit,YY
赵威狱中,,Zhao Wei prison,YY
89游行,,89 parade,YY
寻找坦克,,Looking for tanks,YY
89 座谈,,89 discussion,YY
89 镇压,,89 crackdown,YY
白衬衫 散步,,White shirt walking,YY
64 北京,,64 Beijing,YY
天安门受难,,Tiananmen Crucifixion,YY
六四27年,June 4 27 years,Sixty-four 27 years,YY
64 邓小平,,64 Deng Xiaoping,YY
寻找 坦克,,Looking for tanks,YY
89镇压,,89 crackdown,YY
64黑衫,,64 Blackshirts,YY
八九 平反,89 vindication,Eighty-nine vindicated,YY
八九血衣,89 blood shirt,Eighty-nine pants,YY
64 殇,64 death,64 Shame,YY
天安门 回忆,,Tiananmen memories,YY
天安门重返,,To return to Tiananmen Square,YY
北京27年,,Beijing 27 years,YY
八九 血腥,89 bloody,Eighty-nine bloody,YY
考拉狱中,,Koala prison,YY
八九平反,89 vindication,Eighty-nine vindicated,YY
天安门血,,Tiananmen blood,YY
广场拖拉机,,Square tractor,YY
89 反思,,89 Reflection,YY
六四 平反,June 4 Vindication,Sixty-four vindicated,YY
郭宝胜被捕,,Guo Baosheng arrested,YY
89 血腥,,89 bloody,YY
唐荆陵绝食,,Tang Jingling hunger strike,YY
王丹 贴纸,,Wang Dan Stickers,YY
杜宪新闻联播,Du Xian Xinwen Lianbo,Du Xian News Feeds,YY
六四二十七年,June 4 twenty-seven years,Sixty-four twenty-seven years,YY
64 胡耀邦,,64 Hu Yaobang,YY
六四 遇难,June 4 victim,Sixty-four killed,YY
木樨地 纪念,Muxidi Memorials,Memorial Sweetclover,YY
特朗普 六四,Trump June 4,Trump sixty-four,YY
徐彩虹 北京,,Xu Caihong Beijing,YY
八九 示威,89  demonstrations,Eighty-nine demonstrations,YY
64静坐,64 sit still,64 sit,YY
北京学运,,Beijing student movement,YY
谭作人 疫苗,,Tan Zuoren vaccine,YY
64 清场,,64 clearance,YY
六四 赵紫阳,June 4 Zhao Ziyang,Sixty-four Zhao Ziyang,YY
64示威,,64 demonstrators,YY
六四 游行,June 4 parade,Sixty-four parade,YY
64期间,,64 period,YY
一九89,1989,Nineteen 89,YY
八九 屠杀,89 massacre,Eighty-nine massacre,YY
六四 镇压,June 4 crackdown,The crackdown,YY
64二十七年,,64 twenty-seven years,YY
8939军,89 39th Group Army,8939 Army,YY
六四街头,June 4 street,Sixty-four street,YY
六四北京,June 4 Beijing,Sixty-four Beijing,YY
六四 北京,June 4 Beijing,Sixty-four Beijing,YY
尖沙咀,,Tsim Sha Tsui,YY
六四军队,June 4 army,Sixty-four army,YY
八九示威,89 demostration,Eighty-nine demonstrations,YY
89 社论,,89 Editorials,YY
八九赵紫阳,89 Zhao Ziyang,Eighty-nine Zhao Ziyang,YY
郭飞雄张青,Guo Feixiong Zhang Qing,Zhang Qing Guo Feixiong,YY
89 静坐,89 sit still,89 sit,YY
天安门27年,,Tiananmen Square 27 years,YY
寻找 王维林,Looking for Wang Weilin,Looking Wang Weilin,YY
六四 27年,June 4 27 years,Sixty-four 27 years,YY
89黑衫,,89 Blackshirts,YY
唐荆陵 绝食,,Tang Jingling hunger strike,YY
89香港,,89 Hong Kong,YY
倾斜的天安门,,Tilt Tiananmen,YY
64 街头,,64 streets,YY
赫建 采访,Hao Jian Interview,Built an interview,YY
徐彩虹被捕,,Xu Caihong arrested,YY
64政府,,64 government,YY
89纪念,,89 Memorial,YY
八九 屠城,89 massacre,Eighty-nine massacre,YY
六四 示威,June 4 demonstration,Sixty-four demonstrations,YY
维园晚会,,Victoria Park show,YY
燭光,,Candlelight,YY
89 血衣,89 blood shirt,89 pants,YY
郭飞雄维权,,Activist Guo Feixiong,YY
39军进京,39th Group Army enter Beijing,39 Jun Beijing,YY
89 64,,8964,YY
89VIIV,,89VIIV,YY
六四申遗,June 4 inscription,Sixty-four inscription,YY
六四 中共,June 4 CCP,Sixty-four CCP,YY
六四民主,June 4 democracy,Sixty-four democracy,YY
王策 西班牙,,Wang Ce Spain,YY
广场 屠杀,,Square massacre,YY
89 街头,,89 streets,YY
六四 反思,June 4 reflection,Sixty-four Reflection,YY
89 政府,,89 government,YY
89 屠杀,,89 massacre,YY
占领 天安门,,Occupied Tiananmen Square,YY
八九 社论,89 editorial,Eighty-nine Editorials,YY
六四中共,June 4 Chinese Communist Party,Sixty-four CCP,YY
89反思,,89 Reflection,YY
89 39军,89 39th Group Army,8939 Army,YY
六四无日无之,June 4 almost every day,Sixty-four almost every day,YY
北京 二十七年,,Beijing twenty-seven years,YY
六四 清场,June 4 clearance,People's Liberation Army at Tiananmen Square protests of 1989,YY
六四学潮,June 4 student strike,Sixty-four Student Strike,YY
chimerica,,Chimerica,YY
赵威 狱中,,Zhao Wei prison,YY
89 遇难,89 victims,89 killed,YY
八九 重返,89 return,Eighty-nine return,YY
六四 社论,June 4 editorial,Sixty-four Editorials,YY
89悼念,,89 memorial,YY
64血衣,,64 pants,YY
六四 重返,June 4 return,Sixty-four return,YY
张永宁纪念,,Zhang Yongning Memorial,YY
天安门散步,,Tiananmen Walking,YY
谭作人疫苗,,Tan Zuoren vaccine,YY
六四腐败,June 4 corruption,Sixty-four corruption,YY
89中共,,89 CPC,YY
六四 血衣,June 4 Blood pants,Sixty-four pants,YY
天安门 受难,,Tiananmen Crucifixion,YY
64 八九,64 89,64 eighty-nine,YY
六四社论,June 4 editorial,Sixty-four Editorials,YY
六四遇难,June 4 victims,Sixty-four killed,YY
八九 39军,89 39th Group Army,Eighty-nine 39 Jun,YY
六四 天安门,June 4 Tiananmen,Tiananmen,YY; LINE
八九腐败,89 corruption,Eighty-nine corruption,YY
六四 街头,June 4 street,Sixty-four street,YY
89 坦克,89 tank,89 tanks,YY
八九重返,89 return,Eighty-nine return,YY
八九 赵紫阳,89 Zhao Ziyang,Eighty-nine Zhao Ziyang,YY
捌玖年,89 year,Ba Jiu Year,YY
64坦克,,64 tanks,YY
64 惨案,,64 tragedy,YY
八九 血衣,89 Blood pants,Eighty-nine pants,YY
八九 黑衫,89 blackshirts,Eighty-nine Blackshirts,YY
张善光 学生,,Student Zhang Shanguang,YY
八九中共,89 Chinese Communist party,Eighty-nine CCP,YY
64 悼念,,64 memorial,YY
64邓小平,,64 Deng Xiaoping,YY
89 学生,89 student,89 students,YY
玫瑰团队,,Rose Team,YY
89 香港,,89 Hong Kong,YY
六四纪念,June 4 memorial,Sixty-four Memorial,YY
六四清场,June 4 clearance,People's Liberation Army at Tiananmen Square protests of 1989,YY
八九 天安门,89 Tiananmen,Eighty-nine Tiananmen,YY
64 遇难,64 victims,64 killed,YY
赫建采访,Hao Jian Interview,Built an interview,YY
天安门 重返,,To return to Tiananmen Square,YY
八九 游行,89 parade,Eighty-nine parade,YY
六四 坦克,June 4 tank,Sixty-four tank,YY
六四八九,June 4 89,Six thousand four hundred eighty-nine,YY
六四静坐,June 4 sit still,Sixty-four sit,YY
北京 坦克人,Beijing tank person,Beijing tanks person,YY
64学生,,64 students,YY
温云超,Wen Yunchao,Warm cloud over,YY
64香港,,64 Hong Kong,YY
八九 座谈,89 discussion,Eighty-nine discussion,YY
64民主,,64 democracy,YY
徐彩虹 被捕,,Xu Caihong arrested,YY
邓丽君 舞台剧,Deng Lijun Stage Play,Teresa Stage Play,YY
六四香港,June 4 Hong Kong,Sixty-four Hong Kong,YY
八九遇难,89 victims,Eighty-nine killed,YY
广场坦克,,Square tank,YY
六四 申遗,June 4 inscription,Sixty-four inscription,YY
天安门 黑衫,,Tiananmen Blackshirts,YY
六四 呼吁,June 4 advocate,Sixty-four appeal,YY
64游行,,64 parade,YY
天安门黑衫,,Tiananmen Blackshirts,YY
六四悼念,June 4 memorial,Sixty-four Tribute,YY
89 胡耀邦,,89 Hu Yaobang,YY
李勇捐款,,Li Yong Contributions,YY
邓丽君舞台剧,Deng Lijun Stage Play,Teresa Stage Play,YY
推土机 种花,Blooms of Darkness,Bulldozer flowers,YY
64社论,,64 Editorials,YY
八九反思,89 reflection,Eighty-nine Reflection,YY
六四 拖拉机,June 4 tractor,Sixty-four tractor,YY
川普 六四,Trump June 4,Trump sixty-four,YY
六四 香港,June 4 Hong Kong,Sixty-four Hong Kong,YY
八九 街头,89 street,Eighty-nine street,YY
64八九,64 89,64 eighty-nine,YY
64血腥,,64 bloody,YY
64 二十七年,,64 twenty-seven years,YY
64 游行,,64 parade,YY
六四 血腥,June 4 bloody,Sixty-four bloody,YY
天安门妈妈,,Tiananmen mothers,YY
郭飞雄 维权,Guo Feixiong Rights Defense,Activist Guo Feixiong,YY
北京 清场,,Beijing Clearance,YY
89 天安门,,89 Tiananmen,YY; LINE
王丹贴纸,,Wang Dan Stickers,YY
89爱国运动,,89 Patriotic Movement,YY
北京平反,Beijing vindication,Beijing vindicated,YY
六四 二十七年,June 4 twenty-seven years,Sixty-four twenty-seven years,YY
64 反思,,64 Reflection,YY
六四重返,June 4 return,Sixty-four return,YY
89坦克,,89 tanks,YY
八九 北京,89 Beijing,Eighty-nine Beijing,YY
木樨地 蜡烛,Muxidi Candle,Sweetclover candle,YY
八九 学生,89 student,Eighty-nine students,YY
六四呼吁,June 4 advocate,Sixty-four appeal,YY
六四 39军,June 4 39th Group Army,Sixty-four 39 Jun,YY
64 天安门,,64 Tiananmen,YY
郭飞雄 公开信,,Guo Feixiong open letter,YY
尤维洁,,You Weijie,YY
89 示威,89 demonstration,89 demonstrators,YY
北京黑衫,,Beijing Blackshirts,YY
64 香港,,64 Hong Kong,YY
八九 拖拉机,89 trator,Eighty-nine tractor,YY
港人游行,,Hong Kong parade,YY
张永宁 纪念,,Zhang Yongning Memorial,YY
89学生,,89 students,YY
尖沙嘴,,Tsim Sha Tsui,YY
八九呼吁,89 advocate,Eighty-nine appeal,YY
89重返,,89 return,YY
八九军队,89 army,Eighty-nine army,YY
64中共,64 Chinese Communist Party,64 CPC,YY
​毋忘六四﻿,,Don't forget six or four,YY
追究屠城責任,,Investigate the responsibility of the massacre,YY
平凡八九民運,,Ordinary 1989,YY
赵紫阳 平反,,Zhao Ziyang,LINE
六四八九民运,,Six hundred and eighty-nine democracy movement,LINE
维园64,,Victoria Park 64,LINE
洗刷陆肆罪名,,Scrutiny,LINE
魏京生64,,Wei Jingsheng 64,LINE
陈希同亲述,,Chen Xitong,LINE
评价六四,,Evaluation of June 4th,LINE
香港维园六四,,Hong Kong Victoria Park June 4th,LINE
八九民运实录,,Record of the 1989 pro-democracy movement,LINE
六四独光晚会,,June Fourth Solitary Party,LINE
北京六四屠杀,,Beijing June 4th Massacre,LINE
毋忘64事件,,Don't forget 64 events,LINE
北京枪声,,Beijing gunshots,LINE
北京之夏 六四,,Summer in Beijing,LINE
平反89民运,,Reciprocal 89 democracy,LINE
绝食静坐,,Glutinous meditation,LINE
中共 六四,,CCP June 4,LINE
镇压 六月四日,,"Repression, June 4",LINE
六四二十年,,Sixty four twenty years,LINE
赵紫阳 日记,,Zhao Ziyang Diary,LINE
民运64屠城,,Democracy 64 massacre,LINE
六四学运领导,,Leadership of the June 4th Movement,LINE
六四 李锐,,Liu Si Li Rui,LINE
北京之夏六四,,Beijing Summer June 4th,LINE
六四学生死了,,June 4 students died,LINE
六四天安门文件,,June Fourth Tiananmen Document,LINE
六四民运领袖,,June 4th Democratic Movement Leader,LINE
64反共产党,,64 anti-communist,LINE
学潮坦克,,Student tank,LINE
平反64中共,,Rehabilitation 64 CCP,LINE
六四 周舵,,Sixty-four week rudder,LINE
王丹89,,Wang Dan 89,LINE
李鹏八九,,Li Peng eight nine,LINE
纪念六四运动,,Commemorating the June 4th Movement,LINE
天安门 陆肆,,Tiananmen Lu Yan,LINE
游行八九,,Parade eight nine,LINE
许家屯回忆录,,Xu Jialu's memoirs,LINE
维园的烛光,,Candlelight in Victoria Park,LINE
六四民运人士,,June 4th Movement,LINE
六四死难者,,June 4 victims,LINE
一九八九 记忆的呼唤,,1989 memory call,LINE
六四维园集会,,Six-four-dimensional garden rally,LINE
六四大事纪,,June 4th,LINE
六四维园论坛,,Six-fourth Victoria Park Forum,LINE
论八九民运,,On the 1989 Democratic Movement,LINE
《李鹏日记》,,Li Peng Diary,LINE
中国 六四,,China June 4th,LINE
鲍彤六四李锐,,Bao Tong Liu Si Li Rui,LINE
屠城,,Slaughter city,LINE
政治杀手一九八九,,Political killer 1989,LINE
天安门 坦克,,Tiananmen tank,LINE
只身挡坦克,,Only block the tank,LINE
六月四 暴动,,June 4th riot,LINE
198964,,,LINE
《陈希同亲述》,,"""Chen Xitong's pro-report""",LINE
.*(中国|李锐).*六四.*,,.*(China|Li Rui).*June 4*,LINE
.*天安门.*(89|八九|坦克).*,,.*Tiananmen.*(89|八九|Tank).*,LINE
.*六四.*(中国|李锐).*,,.*六四.*(China|Li Rui).*,LINE
.*学生.*(64|六四).*,,.*Students.*(64|June 4).*,LINE
.*(89|八九|坦克).*天安门.*,,.*(89|八九|Tank).*Tiananmen.*,LINE
.*(64|六四).*学生.*,,.*(64|June 4).*Students.*,LINE
64+主席+事件,64+ chairman + event,,wechat
六四+删帖,June 4 + delete posts,,wechat
Tiananmen+六四,Tiananmen+ June 4th,,wechat
六四+开枪,June 4 + shooting,,wechat
六四+民运,June 4th + Democratic Movement,,wechat
六四+审理+延期+酒案,June 4th + trial + extension + wine case,,wechat
六四+紀念+香港,June 4th + Memorial + Hong Kong,,wechat
六四+示威,June 4th + Demonstration,,wechat
六四+穿黑衫,June 4th + wearing a black shirt,,wechat
六四+逮捕,June 4th + arrest,,wechat
六四天網+黃琦,June 4th Net + Huang Qi,,wechat
六四天网+黄琦,June 4th Net + Huang Qi,,wechat
六四+平反+文+革,June 4 + Reversal + Text + Leather,,wechat
六四事件,June Fourth Incident,,wechat
六四学生领袖,June Fourth Student Leader,,wechat
六四+屠杀+镇压,June 4th + slaughter + suppression,,wechat
六四+血腥+镇压,June 4 + Bloody + Repression,,wechat
